timestamp,event,task_id,task_name,task_graph_id
1748487458,TASK_SUBMITTED,MCAGraphObject://0/32355,MCAGraphObject://0/32355,
1748487458,TASK_SUBMITTED,MCAGraphObject://0/32355/1,exp_04_02_02_02_03_n100_c18_34,MCAGraphObject://0/32355
1748487460,TASK_STARTED,MCAGraphObject://0/32355/1,exp_04_02_02_02_03_n100_c18_34,MCAGraphObject://0/32355
1748487477,TASK_SUBMITTED,MCAGraphObject://0/33322,MCAGraphObject://0/33322,
1748487477,TASK_SUBMITTED,MCAGraphObject://0/33322/1,exp_04_02_02_02_03_n100_c18_35,MCAGraphObject://0/33322
1748487483,TASK_STARTED,MCAGraphObject://0/33322/1,exp_04_02_02_02_03_n100_c18_35,MCAGraphObject://0/33322
1748487527,TASK_SUBMITTED,MCAGraphObject://0/35221,MCAGraphObject://0/35221,
1748487527,TASK_SUBMITTED,MCAGraphObject://0/35221/1,exp_04_02_02_02_03_n100_c18_36,MCAGraphObject://0/35221
1748487540,TASK_TERMINATED,MCAGraphObject://0/32355/1,exp_04_02_02_02_03_n100_c18_34,MCAGraphObject://0/32355
1748487548,TASK_SUBMITTED,MCAGraphObject://0/36137,MCAGraphObject://0/36137,
1748487548,TASK_SUBMITTED,MCAGraphObject://0/36137/1,exp_04_02_02_02_03_n100_c18_37,MCAGraphObject://0/36137
1748487555,TASK_STARTED,MCAGraphObject://0/35221/1,exp_04_02_02_02_03_n100_c18_36,MCAGraphObject://0/35221
1748487555,TASK_SUBMITTED,MCAGraphObject://0/36142,MCAGraphObject://0/36142,
1748487555,TASK_SUBMITTED,MCAGraphObject://0/36142/1,exp_04_02_02_02_03_n100_c18_38,MCAGraphObject://0/36142
1748487571,TASK_TERMINATED,MCAGraphObject://0/35221/1,exp_04_02_02_02_03_n100_c18_36,MCAGraphObject://0/35221
1748487573,TASK_STARTED,MCAGraphObject://0/36142/1,exp_04_02_02_02_03_n100_c18_38,MCAGraphObject://0/36142
1748487585,TASK_TERMINATED,MCAGraphObject://0/33322/1,exp_04_02_02_02_03_n100_c18_35,MCAGraphObject://0/33322
1748487587,TASK_STARTED,MCAGraphObject://0/36137/1,exp_04_02_02_02_03_n100_c18_37,MCAGraphObject://0/36137
1748487592,TASK_TERMINATED,MCAGraphObject://0/36142/1,exp_04_02_02_02_03_n100_c18_38,MCAGraphObject://0/36142
1748487604,TASK_SUBMITTED,MCAGraphObject://0/37947,MCAGraphObject://0/37947,
1748487604,TASK_SUBMITTED,MCAGraphObject://0/37947/1,exp_04_02_02_02_03_n100_c18_39,MCAGraphObject://0/37947
1748487608,TASK_STARTED,MCAGraphObject://0/37947/1,exp_04_02_02_02_03_n100_c18_39,MCAGraphObject://0/37947
1748487639,TASK_SUBMITTED,MCAGraphObject://0/39010,MCAGraphObject://0/39010,
1748487639,TASK_SUBMITTED,MCAGraphObject://0/39010/1,exp_04_02_02_02_03_n100_c18_40,MCAGraphObject://0/39010
1748487647,TASK_STARTED,MCAGraphObject://0/39010/1,exp_04_02_02_02_03_n100_c18_40,MCAGraphObject://0/39010
1748487659,TASK_SUBMITTED,MCAGraphObject://0/39829,MCAGraphObject://0/39829,
1748487659,TASK_SUBMITTED,MCAGraphObject://0/39829/1,exp_04_02_02_02_03_n100_c18_41,MCAGraphObject://0/39829
1748487665,TASK_SUBMITTED,MCAGraphObject://0/39836,MCAGraphObject://0/39836,
1748487665,TASK_SUBMITTED,MCAGraphObject://0/39836/1,exp_04_02_02_02_03_n100_c18_42,MCAGraphObject://0/39836
1748487678,TASK_STARTED,MCAGraphObject://0/39829/1,exp_04_02_02_02_03_n100_c18_41,MCAGraphObject://0/39829
1748487705,TASK_TERMINATED,MCAGraphObject://0/36137/1,exp_04_02_02_02_03_n100_c18_37,MCAGraphObject://0/36137
1748487709,TASK_STARTED,MCAGraphObject://0/39836/1,exp_04_02_02_02_03_n100_c18_42,MCAGraphObject://0/39836
1748487759,TASK_SUBMITTED,MCAGraphObject://0/41382,MCAGraphObject://0/41382,
1748487759,TASK_SUBMITTED,MCAGraphObject://0/41382/1,exp_04_02_02_02_03_n100_c18_43,MCAGraphObject://0/41382
1748487760,TASK_TERMINATED,MCAGraphObject://0/39010/1,exp_04_02_02_02_03_n100_c18_40,MCAGraphObject://0/39010
1748487763,TASK_STARTED,MCAGraphObject://0/41382/1,exp_04_02_02_02_03_n100_c18_43,MCAGraphObject://0/41382
1748487780,TASK_SUBMITTED,MCAGraphObject://0/42162,MCAGraphObject://0/42162,
1748487780,TASK_SUBMITTED,MCAGraphObject://0/42162/1,exp_04_02_02_02_03_n100_c18_44,MCAGraphObject://0/42162
1748487786,TASK_TERMINATED,MCAGraphObject://0/39829/1,exp_04_02_02_02_03_n100_c18_41,MCAGraphObject://0/39829
1748487791,TASK_STARTED,MCAGraphObject://0/42162/1,exp_04_02_02_02_03_n100_c18_44,MCAGraphObject://0/42162
1748487796,TASK_TERMINATED,MCAGraphObject://0/39836/1,exp_04_02_02_02_03_n100_c18_42,MCAGraphObject://0/39836
1748487808,TASK_TERMINATED,MCAGraphObject://0/37947/1,exp_04_02_02_02_03_n100_c18_39,MCAGraphObject://0/37947
1748487829,TASK_SUBMITTED,MCAGraphObject://0/43730,MCAGraphObject://0/43730,
1748487829,TASK_SUBMITTED,MCAGraphObject://0/43730/1,exp_04_02_02_02_03_n100_c18_45,MCAGraphObject://0/43730
1748487832,TASK_STARTED,MCAGraphObject://0/43730/1,exp_04_02_02_02_03_n100_c18_45,MCAGraphObject://0/43730
1748487838,TASK_SUBMITTED,MCAGraphObject://0/44313,MCAGraphObject://0/44313,
1748487838,TASK_SUBMITTED,MCAGraphObject://0/44313/1,exp_04_02_02_02_03_n100_c18_46,MCAGraphObject://0/44313
1748487845,TASK_SUBMITTED,MCAGraphObject://0/44318,MCAGraphObject://0/44318,
1748487845,TASK_SUBMITTED,MCAGraphObject://0/44318/1,exp_04_02_02_02_03_n100_c18_47,MCAGraphObject://0/44318
1748487848,TASK_TERMINATED,MCAGraphObject://0/42162/1,exp_04_02_02_02_03_n100_c18_44,MCAGraphObject://0/42162
1748487852,TASK_SUBMITTED,MCAGraphObject://0/44905,MCAGraphObject://0/44905,
1748487852,TASK_SUBMITTED,MCAGraphObject://0/44905/1,exp_04_02_02_02_03_n100_c18_48,MCAGraphObject://0/44905
1748487855,TASK_STARTED,MCAGraphObject://0/44313/1,exp_04_02_02_02_03_n100_c18_46,MCAGraphObject://0/44313
1748487857,TASK_STARTED,MCAGraphObject://0/44318/1,exp_04_02_02_02_03_n100_c18_47,MCAGraphObject://0/44318
1748487863,TASK_SUBMITTED,MCAGraphObject://0/45687,MCAGraphObject://0/45687,
1748487863,TASK_SUBMITTED,MCAGraphObject://0/45687/1,exp_04_02_02_02_03_n100_c18_49,MCAGraphObject://0/45687
1748487864,TASK_TERMINATED,MCAGraphObject://0/44313/1,exp_04_02_02_02_03_n100_c18_46,MCAGraphObject://0/44313
1748487869,TASK_STARTED,MCAGraphObject://0/45687/1,exp_04_02_02_02_03_n100_c18_49,MCAGraphObject://0/45687
1748487874,TASK_SUBMITTED,MCAGraphObject://0/46206,MCAGraphObject://0/46206,
1748487874,TASK_SUBMITTED,MCAGraphObject://0/46206/1,exp_04_02_02_02_03_n100_c18_50,MCAGraphObject://0/46206
1748487875,TASK_STARTED,MCAGraphObject://0/44905/1,exp_04_02_02_02_03_n100_c18_48,MCAGraphObject://0/44905
1748487897,TASK_STARTED,MCAGraphObject://0/46206/1,exp_04_02_02_02_03_n100_c18_50,MCAGraphObject://0/46206
1748487899,TASK_TERMINATED,MCAGraphObject://0/43730/1,exp_04_02_02_02_03_n100_c18_45,MCAGraphObject://0/43730
1748487910,TASK_SUBMITTED,MCAGraphObject://0/47256,MCAGraphObject://0/47256,
1748487910,TASK_SUBMITTED,MCAGraphObject://0/47256/1,exp_04_02_02_02_03_n100_c18_51,MCAGraphObject://0/47256
1748487927,TASK_STARTED,MCAGraphObject://0/47256/1,exp_04_02_02_02_03_n100_c18_51,MCAGraphObject://0/47256
1748487931,TASK_SUBMITTED,MCAGraphObject://0/47891,MCAGraphObject://0/47891,
1748487931,TASK_SUBMITTED,MCAGraphObject://0/47891/1,exp_04_02_02_02_03_n100_c18_52,MCAGraphObject://0/47891
1748487949,TASK_TERMINATED,MCAGraphObject://0/44318/1,exp_04_02_02_02_03_n100_c18_47,MCAGraphObject://0/44318
1748487955,TASK_STARTED,MCAGraphObject://0/47891/1,exp_04_02_02_02_03_n100_c18_52,MCAGraphObject://0/47891
1748487979,TASK_TERMINATED,MCAGraphObject://0/44905/1,exp_04_02_02_02_03_n100_c18_48,MCAGraphObject://0/44905
1748488015,TASK_SUBMITTED,MCAGraphObject://0/49095,MCAGraphObject://0/49095,
1748488015,TASK_SUBMITTED,MCAGraphObject://0/49095/1,exp_04_02_02_02_03_n100_c18_53,MCAGraphObject://0/49095
1748488020,TASK_SUBMITTED,MCAGraphObject://0/49452,MCAGraphObject://0/49452,
1748488020,TASK_SUBMITTED,MCAGraphObject://0/49452/1,exp_04_02_02_02_03_n100_c18_54,MCAGraphObject://0/49452
1748488029,TASK_STARTED,MCAGraphObject://0/49095/1,exp_04_02_02_02_03_n100_c18_53,MCAGraphObject://0/49095
1748488035,TASK_SUBMITTED,MCAGraphObject://0/50059,MCAGraphObject://0/50059,
1748488035,TASK_SUBMITTED,MCAGraphObject://0/50059/1,exp_04_02_02_02_03_n100_c18_55,MCAGraphObject://0/50059
1748488043,TASK_STARTED,MCAGraphObject://0/49452/1,exp_04_02_02_02_03_n100_c18_54,MCAGraphObject://0/49452
1748488052,TASK_TERMINATED,MCAGraphObject://0/45687/1,exp_04_02_02_02_03_n100_c18_49,MCAGraphObject://0/45687
1748488056,TASK_STARTED,MCAGraphObject://0/50059/1,exp_04_02_02_02_03_n100_c18_55,MCAGraphObject://0/50059
1748488073,TASK_TERMINATED,MCAGraphObject://0/49452/1,exp_04_02_02_02_03_n100_c18_54,MCAGraphObject://0/49452
1748488122,TASK_SUBMITTED,MCAGraphObject://0/51173,MCAGraphObject://0/51173,
1748488122,TASK_SUBMITTED,MCAGraphObject://0/51173/1,exp_04_02_02_02_03_n100_c18_56,MCAGraphObject://0/51173
1748488131,TASK_TERMINATED,MCAGraphObject://0/46206/1,exp_04_02_02_02_03_n100_c18_50,MCAGraphObject://0/46206
1748488134,TASK_STARTED,MCAGraphObject://0/51173/1,exp_04_02_02_02_03_n100_c18_56,MCAGraphObject://0/51173
1748488190,TASK_TERMINATED,MCAGraphObject://0/47256/1,exp_04_02_02_02_03_n100_c18_51,MCAGraphObject://0/47256
1748488202,TASK_TERMINATED,MCAGraphObject://0/47891/1,exp_04_02_02_02_03_n100_c18_52,MCAGraphObject://0/47891
1748488215,TASK_TERMINATED,MCAGraphObject://0/50059/1,exp_04_02_02_02_03_n100_c18_55,MCAGraphObject://0/50059
1748488217,TASK_SUBMITTED,MCAGraphObject://0/52823,MCAGraphObject://0/52823,
1748488217,TASK_SUBMITTED,MCAGraphObject://0/52823/1,exp_04_02_02_02_03_n100_c18_57,MCAGraphObject://0/52823
1748488227,TASK_STARTED,MCAGraphObject://0/52823/1,exp_04_02_02_02_03_n100_c18_57,MCAGraphObject://0/52823
1748488236,TASK_TERMINATED,MCAGraphObject://0/41382/1,exp_04_02_02_02_03_n100_c18_43,MCAGraphObject://0/41382
1748488240,TASK_TERMINATED,MCAGraphObject://0/52823/1,exp_04_02_02_02_03_n100_c18_57,MCAGraphObject://0/52823
1748488246,TASK_SUBMITTED,MCAGraphObject://0/53458,MCAGraphObject://0/53458,
